timestamp,co2_emissions (PPM),drive_mode,engine_exhaust_flow_rate (Kg/h),engine_fuel_rate (l/min),engine_mode,engine_speed (rpm),execute_engine_power (KW),mass_air_flow (g/min),vehicle_speed (MPH),
54.0005,0.000939955632,1.0,0.0,0.0,0.0,0.0,0.0,25.8,18.226888305628464,
55.0004,0.0009349558679999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,17.398393382645352,
56.0004,0.0009199565760000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,15.948527267424902,
57.0005,0.0008999575199999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,13.877289959967124,
58.0005,0.0008849582279999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,11.39180519101779,
59.0004,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,10.149062806543121,
60.0005,0.0008599594079999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,9.32056788356001,
61.0005,0.000914956812,1.0,0.0,0.0,0.0,0.0,0.0,25.8,10.149062806543121,
62.0005,0.001019951856,1.0,0.0,0.0,0.0,0.0,0.0,25.8,11.806052652509344,
63.0004,0.001069949496,1.0,0.0,0.0,0.0,0.0,0.0,25.8,13.048795036984012,
64.0005,0.001039950912,1.0,0.0,0.0,0.0,0.0,0.0,25.8,14.498661152204457,
65.0004,0.0009999528,1.0,0.0,0.0,0.0,0.0,0.0,25.8,15.12003234444179,
66.0004,0.0010149520919999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,14.705784882950235,
67.0004,0.001019951856,1.0,0.0,0.0,0.0,0.0,0.0,25.8,13.877289959967124,
68.0004,0.001019951856,1.0,0.0,0.0,0.0,0.0,0.0,25.8,12.220300114000901,
69.0004,0.000984953508,1.0,0.0,0.0,0.0,0.0,0.0,25.8,9.113444152814232,
70.0005,0.0009199565759999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,6.627959383864895,
71.0004,0.000914956812,1.0,0.0,0.0,0.0,0.0,0.0,25.8,4.349598345661337,
72.0004,0.0008849582280000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,2.6926084996951136,
73.0005,0.000944955396,1.0,0.0,0.0,0.0,0.0,0.0,25.8,1.8641135767120016,
74.0005,0.001019951856,1.0,0.0,0.0,0.0,0.0,0.0,25.8,1.8641135767120016,
75.0004,0.0010099523279999997,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.621371192237334,
76.0004,0.001019951856,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
77.0004,0.0009699542159999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
78.0004,0.000954954924,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
79.0004,0.0009199565759999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
80.0004,0.0009149568119999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
81.0004,0.0009149568119999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
82.0004,0.000929956104,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
83.0004,0.000934955868,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
84.0004,0.0007999622399999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
85.0005,0.0007749634200000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
86.0005,0.000759964128,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
87.0005,0.0007749634199999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
88.0004,0.0007349653079999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
89.0005,0.0007599641279999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
90.0005,0.000804962004,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
91.0004,0.0008349605880000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
92.0004,0.0008549596439999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
93.0005,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
94.0004,0.0008749586999999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
95.0004,0.0008899579919999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
96.0005,0.000929956104,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
97.0005,0.00094995516,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
98.0005,0.0009349558679999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
99.0005,0.0008799584639999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
100.0004,0.0008749586999999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,
101.0005,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,2.485484768949336,
102.0004,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,6.835083114610673,
103.0005,0.0008649591719999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,9.734815345051565,
104.0004,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,12.427423844746679,
105.0004,0.000839960352,1.0,0.0,0.0,0.0,0.0,0.0,25.8,14.705784882950235,
106.0005,0.000804962004,1.0,0.0,0.0,0.0,0.0,0.0,25.8,16.984145921153793,
107.0005,0.000804962004,1.0,0.0,0.0,0.0,0.0,0.0,25.8,17.812640844136908,
108.0005,0.000854959644,1.0,0.0,0.0,0.0,0.0,0.0,25.8,19.055383228611575,
109.0004,0.000854959644,1.0,0.0,0.0,0.0,0.0,0.0,25.8,20.298125613086242,
110.0004,0.000829960824,1.0,0.0,0.0,0.0,0.0,0.0,25.8,20.50524934383202,
111.0004,0.0008399603520000002,1.0,0.0,0.0,0.0,0.0,0.0,25.8,20.50524934383202,
112.0005,0.0008349605880000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,20.50524934383202,
113.0005,0.0008149615319999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,20.712373074577798,
114.0004,0.000794962476,1.0,0.0,0.0,0.0,0.0,0.0,25.8,21.955115459052465,
115.0005,0.000794962476,1.0,0.0,0.0,0.0,0.0,0.0,25.8,23.197857843527135,
116.0005,0.000834960588,1.0,0.0,0.0,0.0,0.0,0.0,25.8,24.64772395874758,
117.0004,0.0008699589359999998,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.269095150984914,
118.0005,0.0008549596439999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.47621888173069,
119.0005,0.0008199612959999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.47621888173069,
120.0004,0.000804962004,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.47621888173069,
121.0005,0.0007749634200000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.269095150984914,
122.0005,0.0007999622399999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,24.854847689493358,
123.0005,0.0008299608240000001,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.47621888173069,
124.0004,0.000784962948,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.097590073968025,
125.0004,0.0007599641279999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.71896126620536,
126.0005,0.0007899627119999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.71896126620536,
127.0005,0.000829960824,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.340332458442692,
128.0004,0.000864959172,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.340332458442692,
129.0004,0.0008449601159999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.754579919934248,
130.0004,0.0007999622399999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,27.340332458442692,
131.0005,0.0007999622399999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,26.51183753545958,
132.0004,0.0008099617679999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,25.68334261247647,
133.0004,0.0008149615319999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,24.854847689493358,
134.0004,0.0008099617679999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,23.81922903576447,
135.0005,0.0007649638919999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,22.990734112781354,
136.0004,0.000794962476,1.0,0.0,0.0,0.0,0.0,0.0,25.8,21.54086799756091,
137.0004,0.0007999622399999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,18.848259497865797,
138.0005,0.0008599594079999999,1.0,0.0,0.0,0.0,0.0,0.0,25.8,13.877289959967124,
139.0005,0.000819961296,1.0,0.0,0.0,0.0,0.0,0.0,25.8,6.420835653119117,
140.0005,0.000804962004,1.0,0.0,0.0,0.0,0.0,0.0,25.8,3.7282271534240032,
141.0004,0.000794962476,1.0,0.0,0.0,0.0,0.0,0.0,25.8,1.8641135767120016,
